PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Name,Cabin,Ticket,Ticket,Ticket
1078,,2,female,21,0,1,S.O./P.P. 2,21,S,0.697802,,S.O./P.P.,2,
1194,,2,male,43,0,1,S.O./P.P. 2,21,S,0.156673,,S.O./P.P.,2,
773,0,2,female,57,0,0,S.O./P.P. 3,10.5,S,0.782,E,S.O./P.P.,3,
842,0,2,male,16,0,0,S.O./P.P. 3,10.5,S,0.156673,,S.O./P.P.,3,
1062,,3,male,27,0,0,S.O./P.P. 251,7.55,S,0.156673,,S.O./P.P.,251,
474,1,2,female,23,0,0,SC/AH Basle 541,13.7917,C,0.782,D,SC/AH,541,Basle
1270,,1,male,55,0,0,680,50,S,0.156673,C,,680,
546,0,1,male,64,0,0,693,26,S,0.156673,,,693,
903,,1,male,46,0,0,694,26,S,0.156673,,,694,
873,0,1,male,33,0,0,695,5,S,0.156673,B,,695,
227,1,2,male,19,0,0,SW/PP 751,10.5,S,0.156673,,SW/PP,751,
649,0,3,male,27,0,0,S.O./P.P. 751,7.55,S,0.156673,,S.O./P.P.,751,
571,1,2,male,62,0,0,S.W./PP 752,10.5,S,0.156673,,S.W./PP,752,
1047,,3,male,24,0,0,S.O./P.P. 752,7.55,S,0.156673,,S.O./P.P.,752,
154,0,3,male,40.5,0,2,A/5. 851,14.5,S,0.156673,,A/5.,851,
1084,,3,male,11.5,1,1,A/5. 851,14.5,S,0.575,,A/5.,851,
1236,,3,male,24,1,1,A/5. 851,14.5,S,0.575,,A/5.,851,
151,0,2,male,51,0,0,S.O.P. 1166,12.525,S,0,,S.O.P.,1166,
1249,,3,male,27,0,0,1222,7.8792,S,0.156673,,,1222,
1181,,3,male,27,0,0,A/5 1478,8.05,S,0.156673,,A/5,1478,
240,0,2,male,33,0,0,SCO/W 1585,12.275,S,0.156673,,SCO/W,1585,
1204,,3,male,27,0,0,LP 1588,7.575,S,0.156673,,LP,1588,
75,1,3,male,32,0,0,1601,56.4958,S,0.156673,,,1601,
170,0,3,male,28,0,0,1601,56.4958,S,0.156673,,,1601,
510,1,3,male,26,0,0,1601,56.4958,S,0.156673,,,1601,
644,1,3,male,27,0,0,1601,56.4958,S,0.156673,,,1601,
693,1,3,male,27,0,0,1601,56.4958,S,0.156673,,,1601,
827,0,3,male,27,0,0,1601,56.4958,S,0.156673,,,1601,
839,1,3,male,32,0,0,1601,56.4958,S,0.156673,,,1601,
931,,3,male,27,0,0,1601,56.4958,S,0.156673,,,1601,
390,1,2,female,17,0,0,SC 1748,12,C,0.697802,,SC,1748,
427,1,2,female,28,1,0,2003,26,S,0.782,,,2003,
1220,,2,male,29,1,0,2003,26,S,0.156673,,,2003,
818,0,2,male,31,1,1,S.C./PARIS 2079,37.0042,C,0.156673,,S.C./PARIS,2079,
828,1,2,male,1,0,2,S.C./PARIS 2079,37.0042,C,0.575,,S.C./PARIS,2079,
1253,,2,female,24,1,1,S.C./PARIS 2079,37.0042,C,0.782,,S.C./PARIS,2079,
44,1,2,female,3,1,2,SC/Paris 2123,41.5792,C,0.697802,,SC/Paris,2123,
609,1,2,female,22,1,2,SC/Paris 2123,41.5792,C,0.782,,SC/Paris,2123,
686,0,2,male,25,1,2,SC/Paris 2123,41.5792,C,0.156673,,SC/Paris,2123,
1188,,2,female,1,1,2,SC/Paris 2123,41.5792,C,0.697802,,SC/Paris,2123,
182,0,2,male,31,0,0,SC/PARIS 2131,15.05,C,0.156673,,SC/PARIS,2131,
136,0,2,male,23,0,0,SC/PARIS 2133,15.0458,C,0.156673,,SC/PARIS,2133,
60,0,3,male,11,5,2,CA 2144,46.9,S,0.575,,CA,2144,
72,0,3,female,16,5,2,CA 2144,46.9,S,0.697802,,CA,2144,
387,0,3,male,1,5,2,CA 2144,46.9,S,0.575,,CA,2144,
481,0,3,male,9,5,2,CA 2144,46.9,S,0.575,,CA,2144,
679,0,3,female,43,1,6,CA 2144,46.9,S,0.782,,CA,2144,
684,0,3,male,14,5,2,CA 2144,46.9,S,0.156673,,CA,2144,
1031,,3,male,40,1,6,CA 2144,46.9,S,0.156673,,CA,2144,
1032,,3,female,10,5,2,CA 2144,46.9,S,0.697802,,CA,2144,
548,1,2,male,31,0,0,SC/PARIS 2146,13.8625,C,0.156673,,SC/PARIS,2146,
1261,,2,male,29,0,0,SC/PARIS 2147,13.8583,C,0.156673,,SC/PARIS,2147,
1112,,2,female,30,1,0,SC/PARIS 2148,13.8583,C,0.697802,,SC/PARIS,2148,
867,1,2,female,27,1,0,SC/PARIS 2149,13.8583,C,0.697802,,SC/PARIS,2149,
13,0,3,male,20,0,0,A/5. 2151,8.05,S,0.156673,,A/5.,2151,
