PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Name,Cabin
1,0,3,male,22,1,0,1,7.25,S, Mr,M
2,1,1,female,38,1,0,2,71.2833,C, Mrs,C
3,1,3,female,26,0,0,1,7.925,S, Miss,M
4,1,1,female,35,1,0,2,53.1,S, Mrs,C
5,0,3,male,35,0,0,1,8.05,S, Mr,M
6,0,3,male,27,0,0,1,8.4583,Q, Mr,M
7,0,1,male,54,0,0,2,51.8625,S, Mr,E
8,0,3,male,2,3,1,5,21.075,S, Master,M
9,1,3,female,27,0,2,3,11.1333,S, Mrs,M
10,1,2,female,14,1,0,2,30.0708,C, Mrs,M
11,1,3,female,4,1,1,3,16.7,S, Miss,G
12,1,1,female,58,0,0,1,26.55,S, Miss,C
13,0,3,male,20,0,0,1,8.05,S, Mr,M
14,0,3,male,39,1,5,7,31.275,S, Mr,M
15,0,3,female,14,0,0,1,7.8542,S, Miss,M
16,1,2,female,55,0,0,1,16,S, Mrs,M
17,0,3,male,2,4,1,6,29.125,Q, Master,M
18,1,2,male,31,0,0,1,13,S, Mr,M
19,0,3,female,31,1,0,2,18,S, Mrs,M
20,1,3,female,27,0,0,1,7.225,C, Mrs,M
21,0,2,male,35,0,0,2,26,S, Mr,M
22,1,2,male,34,0,0,1,13,S, Mr,D
23,1,3,female,15,0,0,1,8.0292,Q, Miss,M
24,1,1,male,28,0,0,1,35.5,S, Mr,A
25,0,3,female,8,3,1,5,21.075,S, Miss,M
26,1,3,female,38,1,5,7,31.3875,S, Mrs,M
27,0,3,male,27,0,0,1,7.225,C, Mr,M
28,0,1,male,19,3,2,6,263,S, Mr,C
29,1,3,female,27,0,0,1,7.8792,Q, Miss,M
30,0,3,male,27,0,0,1,7.8958,S, Mr,M
31,0,1,male,40,0,0,1,27.7208,C, Don,M
32,1,1,female,40,1,0,3,146.5208,C, Mrs,B
33,1,3,female,27,0,0,1,7.75,Q, Miss,M
34,0,2,male,66,0,0,1,10.5,S, Mr,M
35,0,1,male,28,1,0,2,82.1708,C, Mr,M
36,0,1,male,42,1,0,2,52,S, Mr,M
37,1,3,male,27,0,0,1,7.2292,C, Mr,M
38,0,3,male,21,0,0,1,8.05,S, Mr,M
39,0,3,female,18,2,0,2,18,S, Miss,M
40,1,3,female,14,1,0,2,11.2417,C, Miss,M
41,0,3,female,40,1,0,1,9.475,S, Mrs,M
42,0,2,female,27,1,0,2,21,S, Mrs,M
43,0,3,male,27,0,0,1,7.8958,C, Mr,M
44,1,2,female,3,1,2,4,41.5792,C, Miss,M
45,1,3,female,19,0,0,1,7.8792,Q, Miss,M
46,0,3,male,27,0,0,1,8.05,S, Mr,M
47,0,3,male,24,1,0,2,15.5,Q, Mr,M
48,1,3,female,27,0,0,1,7.75,Q, Miss,M
49,0,3,male,19,2,0,3,21.6792,C, Mr,M
50,0,3,female,18,1,0,2,17.8,S, Mrs,M
51,0,3,male,7,4,1,7,39.6875,S, Master,M
