PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Name,Cabin,Ticket
1,0,3,male,22,1,0,7.25,S, Mr,,1
2,1,1,female,38,1,0,71.2833,C, Mrs,C,2
3,1,3,female,26,0,0,7.925,S, Miss,,1
4,1,1,female,35,1,0,53.1,S, Mrs,C,2
5,0,3,male,35,0,0,8.05,S, Mr,,1
6,0,3,male,27,0,0,8.4583,Q, Mr,,1
7,0,1,male,54,0,0,51.8625,S, Mr,E,2
8,0,3,male,2,3,1,21.075,S, Master,,5
9,1,3,female,27,0,2,11.1333,S, Mrs,,3
10,1,2,female,14,1,0,30.0708,C, Mrs,,2
11,1,3,female,4,1,1,16.7,S, Miss,G,3
12,1,1,female,58,0,0,26.55,S, Miss,C,1
13,0,3,male,20,0,0,8.05,S, Mr,,1
14,0,3,male,39,1,5,31.275,S, Mr,,7
15,0,3,female,14,0,0,7.8542,S, Miss,,1
16,1,2,female,55,0,0,16,S, Mrs,,1
17,0,3,male,2,4,1,29.125,Q, Master,,6
18,1,2,male,31,0,0,13,S, Mr,,1
19,0,3,female,31,1,0,18,S, Mrs,,2
20,1,3,female,27,0,0,7.225,C, Mrs,,1
21,0,2,male,35,0,0,26,S, Mr,,2
22,1,2,male,34,0,0,13,S, Mr,D,1
23,1,3,female,15,0,0,8.0292,Q, Miss,,1
24,1,1,male,28,0,0,35.5,S, Mr,A,1
25,0,3,female,8,3,1,21.075,S, Miss,,5
26,1,3,female,38,1,5,31.3875,S, Mrs,,7
27,0,3,male,27,0,0,7.225,C, Mr,,1
28,0,1,male,19,3,2,263,S, Mr,C,6
29,1,3,female,27,0,0,7.8792,Q, Miss,,1
30,0,3,male,27,0,0,7.8958,S, Mr,,1
31,0,1,male,40,0,0,27.7208,C, Don,,1
32,1,1,female,40,1,0,146.5208,C, Mrs,B,3
33,1,3,female,27,0,0,7.75,Q, Miss,,1
34,0,2,male,66,0,0,10.5,S, Mr,,1
35,0,1,male,28,1,0,82.1708,C, Mr,,2
36,0,1,male,42,1,0,52,S, Mr,,2
37,1,3,male,27,0,0,7.2292,C, Mr,,1
38,0,3,male,21,0,0,8.05,S, Mr,,1
39,0,3,female,18,2,0,18,S, Miss,,2
40,1,3,female,14,1,0,11.2417,C, Miss,,2
41,0,3,female,40,1,0,9.475,S, Mrs,,1
42,0,2,female,27,1,0,21,S, Mrs,,2
43,0,3,male,27,0,0,7.8958,C, Mr,,1
44,1,2,female,3,1,2,41.5792,C, Miss,,4
45,1,3,female,19,0,0,7.8792,Q, Miss,,1
46,0,3,male,27,0,0,8.05,S, Mr,,1
47,0,3,male,24,1,0,15.5,Q, Mr,,2
48,1,3,female,27,0,0,7.75,Q, Miss,,1
49,0,3,male,19,2,0,21.6792,C, Mr,,3
50,0,3,female,18,1,0,17.8,S, Mrs,,2
51,0,3,male,7,4,1,39.6875,S, Master,,7
52,0,3,male,21,0,0,7.8,S, Mr,,1
53,1,1,female,49,1,0,76.7292,C, Mrs,D,3
54,1,2,female,29,1,0,26,S, Mrs,,2
55,0,1,male,65,0,1,61.9792,C, Mr,B,2
56,1,1,male,39,0,0,35.5,S, Mr,C,1
57,1,2,female,21,0,0,10.5,S, Miss,,1
58,0,3,male,28.5,0,0,7.2292,C, Mr,,1
59,1,2,female,5,1,2,27.75,S, Miss,,4
60,0,3,male,11,5,2,46.9,S, Master,,8
61,0,3,male,22,0,0,7.2292,C, Mr,,1
62,1,1,female,38,0,0,80,, Miss,B,2
63,0,1,male,45,1,0,83.475,S, Mr,C,2
64,0,3,male,4,3,2,27.9,S, Master,,6
65,0,1,male,39,0,0,27.7208,C, Mr,,1
66,1,3,male,24,1,1,15.2458,C, Master,,3
67,1,2,female,29,0,0,10.5,S, Mrs,F,1
68,0,3,male,19,0,0,8.1583,S, Mr,,1
69,1,3,female,17,4,2,7.925,S, Miss,,1
70,0,3,male,26,2,0,8.6625,S, Mr,,1
71,0,2,male,32,0,0,10.5,S, Mr,,1
72,0,3,female,16,5,2,46.9,S, Miss,,8
73,0,2,male,21,0,0,73.5,S, Mr,,7
74,0,3,male,26,1,0,14.4542,C, Mr,,2
75,1,3,male,32,0,0,56.4958,S, Mr,,8
76,0,3,male,25,0,0,7.65,S, Mr,F,1
77,0,3,male,27,0,0,7.8958,S, Mr,,1
78,0,3,male,27,0,0,8.05,S, Mr,,1
79,1,2,male,0.83,0,2,29,S, Master,,3
80,1,3,female,30,0,0,12.475,S, Miss,,2
81,0,3,male,22,0,0,9,S, Mr,,1
82,1,3,male,29,0,0,9.5,S, Mr,,1
83,1,3,female,27,0,0,7.7875,Q, Miss,,1
84,0,1,male,28,0,0,47.1,S, Mr,,2
85,1,2,female,17,0,0,10.5,S, Miss,,1
86,1,3,female,33,3,0,15.85,S, Mrs,,2
87,0,3,male,16,1,3,34.375,S, Mr,,5
88,0,3,male,27,0,0,8.05,S, Mr,,1
89,1,1,female,23,3,2,263,S, Miss,C,6
90,0,3,male,24,0,0,8.05,S, Mr,,1
91,0,3,male,29,0,0,8.05,S, Mr,,1
92,0,3,male,20,0,0,7.8542,S, Mr,,1
93,0,1,male,46,1,0,61.175,S, Mr,E,2
94,0,3,male,26,1,2,20.575,S, Mr,,4
95,0,3,male,59,0,0,7.25,S, Mr,,1
96,0,3,male,27,0,0,8.05,S, Mr,,1
97,0,1,male,71,0,0,34.6542,C, Mr,A,1
98,1,1,male,23,0,1,63.3583,C, Mr,D,2
99,1,2,female,34,0,1,23,S, Mrs,,2
100,0,2,male,34,1,0,26,S, Mr,,2
101,0,3,female,28,0,0,7.8958,S, Miss,,1
102,0,3,male,27,0,0,7.8958,S, Mr,,1
103,0,1,male,21,0,1,77.2875,S, Mr,D,2
104,0,3,male,33,0,0,8.6542,S, Mr,,1
105,0,3,male,37,2,0,7.925,S, Mr,,1
106,0,3,male,28,0,0,7.8958,S, Mr,,1
107,1,3,female,21,0,0,7.65,S, Miss,,1
108,1,3,male,27,0,0,7.775,S, Mr,,1
109,0,3,male,38,0,0,7.8958,S, Mr,,1
110,1,3,female,24,1,0,24.15,Q, Miss,,3
111,0,1,male,47,0,0,52,S, Mr,C,2
112,0,3,female,14.5,1,0,14.4542,C, Miss,,2
113,0,3,male,22,0,0,8.05,S, Mr,,1
114,0,3,female,20,1,0,9.825,S, Miss,,1
115,0,3,female,17,0,0,14.4583,C, Miss,,2
116,0,3,male,21,0,0,7.925,S, Mr,,1
117,0,3,male,70.5,0,0,7.75,Q, Mr,,1
118,0,2,male,29,1,0,21,S, Mr,,2
119,0,1,male,24,0,1,247.5208,C, Mr,B,3
120,0,3,female,2,4,2,31.275,S, Miss,,7
121,0,2,male,21,2,0,73.5,S, Mr,,7
